English name,scientific name,order,family
Black-fronted Piping-Guan,Pipile jacutinga,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Wattled Guan,Aburria aburri,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Black Guan,Chamaepetes unicolor,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Sickle-winged Guan,Chamaepetes goudotii,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Highland Guan,Penelopina nigra,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Horned Guan,Oreophasis derbianus,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Nocturnal Curassow,Nothocrax urumutum,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Crestless Curassow,Mitu tomentosum,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Salvin's Curassow,Mitu salvini,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Razor-billed Curassow,Mitu tuberosum,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Alagoas Curassow,Mitu mitu,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Helmeted Curassow,Pauxi pauxi,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Sira Curassow,Pauxi koepckeae,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Horned Curassow,Pauxi unicornis,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Great Curassow,Crax rubra,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Blue-billed Curassow,Crax alberti,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Yellow-knobbed Curassow,Crax daubentoni,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Black Curassow,Crax alector,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Wattled Curassow,Crax globulosa,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Bare-faced Curassow,Crax fasciolata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Red-billed Curassow,Crax blumenbachii,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Helmeted Guineafowl,Numida meleagris,Galliformes,Numididae (Guineafowl)
White-breasted Guineafowl,Agelastes meleagrides,Galliformes,Numididae (Guineafowl)
Black Guineafowl,Agelastes niger,Galliformes,Numididae (Guineafowl)
Vulturine Guineafowl,Acryllium vulturinum,Galliformes,Numididae (Guineafowl)
Plumed Guineafowl,Guttera plumifera,Galliformes,Numididae (Guineafowl)
Crested Guineafowl,Guttera pucherani,Galliformes,Numididae (Guineafowl)
Stone Partridge,Ptilopachus petrosus,Galliformes,Odontophoridae (New World Quail)
Nahan's Francolin,Ptilopachus nahani,Galliformes,Odontophoridae (New World Quail)
Tawny-faced Quail,Rhynchortyx cinctus,Galliformes,Odontophoridae (New World Quail)
Mountain Quail,Oreortyx pictus,Galliformes,Odontophoridae (New World Quail)
Bearded Wood-Partridge,Dendrortyx barbatus,Galliformes,Odontophoridae (New World Quail)
Long-tailed Wood-Partridge,Dendrortyx macroura,Galliformes,Odontophoridae (New World Quail)
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,Galliformes,Odontophoridae (New World Quail)
Banded Quail,Philortyx fasciatus,Galliformes,Odontophoridae (New World Quail)
Northern Bobwhite,Colinus virginianus,Galliformes,Odontophoridae (New World Quail)
Black-throated Bobwhite,Colinus nigrogularis,Galliformes,Odontophoridae (New World Quail)
Crested Bobwhite,Colinus cristatus,Galliformes,Odontophoridae (New World Quail)
Scaled Quail,Callipepla squamata,Galliformes,Odontophoridae (New World Quail)
Elegant Quail,Callipepla douglasii,Galliformes,Odontophoridae (New World Quail)
California Quail,Callipepla californica,Galliformes,Odontophoridae (New World Quail)
Gambel's Quail,Callipepla gambelii,Galliformes,Odontophoridae (New World Quail)
Montezuma Quail,Cyrtonyx montezumae,Galliformes,Odontophoridae (New World Quail)
Ocellated Quail,Cyrtonyx ocellatus,Galliformes,Odontophoridae (New World Quail)
Singing Quail,Dactylortyx thoracicus,Galliformes,Odontophoridae (New World Quail)
Marbled Wood-Quail,Odontophorus gujanensis,Galliformes,Odontophoridae (New World Quail)
Spot-winged Wood-Quail,Odontophorus capueira,Galliformes,Odontophoridae (New World Quail)
Black-eared Wood-Quail,Odontophorus melanotis,Galliformes,Odontophoridae (New World Quail)
Black-fronted Wood-Quail,Odontophorus atrifrons,Galliformes,Odontophoridae (New World Quail)
Rufous-fronted Wood-Quail,Odontophorus erythrops,Galliformes,Odontophoridae (New World Quail)
Chestnut Wood-Quail,Odontophorus hyperythrus,Galliformes,Odontophoridae (New World Quail)
Dark-backed Wood-Quail,Odontophorus melanonotus,Galliformes,Odontophoridae (New World Quail)
Rufous-breasted Wood-Quail,Odontophorus speciosus,Galliformes,Odontophoridae (New World Quail)
Tacarcuna Wood-Quail,Odontophorus dialeucos,Galliformes,Odontophoridae (New World Quail)
Gorgeted Wood-Quail,Odontophorus strophium,Galliformes,Odontophoridae (New World Quail)
Venezuelan Wood-Quail,Odontophorus columbianus,Galliformes,Odontophoridae (New World Quail)
Black-breasted Wood-Quail,Odontophorus leucolaemus,Galliformes,Odontophoridae (New World Quail)
Stripe-faced Wood-Quail,Odontophorus balliviani,Galliformes,Odontophoridae (New World Quail)
Starred Wood-Quail,Odontophorus stellatus,Galliformes,Odontophoridae (New World Quail)
Spotted Wood-Quail,Odontophorus guttatus,Galliformes,Odontophoridae (New World Quail)
Udzungwa Partridge,Xenoperdix udzungwensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Ferruginous Partridge,Caloperdix oculeus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crested Partridge,Rollulus rouloul,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Black Partridge,Melanoperdix niger,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hill Partridge,Arborophila torqueola,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sichuan Partridge,Arborophila rufipectus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-breasted Partridge,Arborophila mandellii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
White-necklaced Partridge,Arborophila gingica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rufous-throated Partridge,Arborophila rufogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
White-cheeked Partridge,Arborophila atrogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Taiwan Partridge,Arborophila crudigularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hainan Partridge,Arborophila ardens,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-bellied Partridge,Arborophila javanica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Malaysian Partridge,Arborophila campbelli,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Roll's Partridge,Arborophila rolli,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sumatran Partridge,Arborophila sumatrana,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray-breasted Partridge,Arborophila orientalis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Bar-backed Partridge,Arborophila brunneopectus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Orange-necked Partridge,Arborophila davidi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-headed Partridge,Arborophila cambodiana,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-breasted Partridge,Arborophila hyperythra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-billed Partridge,Arborophila rubrirostris,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Scaly-breasted Partridge,Arborophila chloropus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-necklaced Partridge,Arborophila charltonii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Long-billed Partridge,Rhizothera longirostris,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Dulit Partridge,Rhizothera dulitensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crested Argus,Rheinardia ocellata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Great Argus,Argusianus argus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Indian Peafowl,Pavo cristatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Green Peafowl,Pavo muticus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Congo Peacock,Afropavo congensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crimson-headed Partridge,Haematortyx sanguiniceps,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red Spurfowl,Galloperdix spadicea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Spurfowl,Galloperdix lunulata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sri Lanka Spurfowl,Galloperdix bicalcarata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Palawan Peacock-Pheasant,Polyplectron napoleonis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Malayan Peacock-Pheasant,Polyplectron malacense,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Bornean Peacock-Pheasant,Polyplectron schleiermacheri,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Germain's Peacock-Pheasant,Polyplectron germaini,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hainan Peacock-Pheasant,Polyplectron katsumatae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Mountain Peacock-Pheasant,Polyplectron inopinatum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
See-see Partridge,Ammoperdix griseogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sand Partridge,Ammoperdix heyi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Brown Quail,Synoicus ypsilophorus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blue-breasted Quail,Synoicus chinensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blue Quail,Synoicus adansonii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Snow Mountain Quail,Anurophasis monorthonyx,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Madagascar Partridge,Margaroperdix madagarensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Japanese Quail,Coturnix japonica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Common Quail,Coturnix coturnix,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Harlequin Quail,Coturnix delegorguei,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rain Quail,Coturnix coromandelica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Stubble Quail,Coturnix pectoralis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rock Partridge,Alectoris graeca,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chukar,Alectoris chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Philby's Partridge,Alectoris philbyi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Przevalski's Partridge,Alectoris magna,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-legged Partridge,Alectoris rufa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Arabian Partridge,Alectoris melanocephala,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Barbary Partridge,Alectoris barbara,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Caucasian Snowcock,Tetraogallus caucasicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Caspian Snowcock,Tetraogallus caspius,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Altai Snowcock,Tetraogallus altaicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Tibetan Snowcock,Tetraogallus tibetanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Snowcock,Tetraogallus himalayensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Jungle Bush-Quail,Perdicula asiatica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rock Bush-Quail,Perdicula argoondah,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Bush-Quail,Perdicula erythrorhyncha,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Manipur Bush-Quail,Perdicula manipurensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hartlaub's Francolin,Pternistis hartlaubi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Handsome Francolin,Pternistis nobilis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Cameroon Francolin,Pternistis camerunensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-naped Francolin,Pternistis castaneicollis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Black-fronted Francolin,Pternistis atrifrons,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Erckel's Francolin,Pternistis erckelii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Djibouti Francolin,Pternistis ochropectus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Double-spurred Francolin,Pternistis bicalcaratus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Heuglin's Francolin,Pternistis icterorhynchus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Ahanta Francolin,Pternistis ahantensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray-striped Francolin,Pternistis griseostriatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Scaly Francolin,Pternistis squamatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-billed Francolin,Pternistis adspersus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Cape Francolin,Pternistis capensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Natal Francolin,Pternistis natalensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hildebrandt's Francolin,Pternistis hildebrandti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Jackson's Francolin,Pternistis jacksoni,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Swierstra's Francolin,Pternistis swierstrai,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Clapperton's Francolin,Pternistis clappertoni,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Harwood's Francolin,Pternistis harwoodi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Swainson's Francolin,Pternistis swainsonii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Yellow-necked Francolin,Pternistis leucoscepus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray-breasted Francolin,Pternistis rufopictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-necked Francolin,Pternistis afer,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Black Francolin,Francolinus francolinus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Francolin,Francolinus pictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chinese Francolin,Francolinus pintadeanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Francolin,Francolinus pondicerianus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Swamp Francolin,Francolinus gularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crested Francolin,Dendroperdix sephaena,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Mountain Bamboo-Partridge,Bambusicola fytchii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chinese Bamboo-Partridge,Bambusicola thoracicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Taiwan Bamboo-Partridge,Bambusicola sonorivox,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red Junglefowl,Gallus gallus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Junglefowl,Gallus sonneratii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sri Lanka Junglefowl,Gallus lafayettii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Green Junglefowl,Gallus varius,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Coqui Francolin,Peliperdix coqui,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
White-throated Francolin,Peliperdix albogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Schlegel's Francolin,Peliperdix schlegelii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Latham's Francolin,Peliperdix lathami,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red-winged Francolin,Scleroptila levaillantii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Ring-necked Francolin,Scleroptila streptophora,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Finsch's Francolin,Scleroptila finschi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Orange River Francolin,Scleroptila gutturalis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray-winged Francolin,Scleroptila afra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Moorland Francolin,Scleroptila psilolaema,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Shelley's Francolin,Scleroptila shelleyi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blood Pheasant,Ithaginis cruentus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Monal,Lophophorus impejanus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sclater's Monal,Lophophorus sclateri,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chinese Monal,Lophophorus lhuysii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Snow Partridge,Lerwa lerwa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Verreaux's Partridge,Tetraophasis obscurus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Szechenyi's Partridge,Tetraophasis szechenyii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Western Tragopan,Tragopan melanocephalus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Satyr Tragopan,Tragopan satyra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blyth's Tragopan,Tragopan blythii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Temminck's Tragopan,Tragopan temminckii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Cabot's Tragopan,Tragopan caboti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Reeves's Pheasant,Syrmaticus reevesii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Copper Pheasant,Syrmaticus soemmerringii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Mikado Pheasant,Syrmaticus mikado,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Elliot's Pheasant,Syrmaticus ellioti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Hume's Pheasant,Syrmaticus humiae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Golden Pheasant,Chrysolophus pictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Lady Amherst's Pheasant,Chrysolophus amherstiae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Ring-necked Pheasant,Phasianus colchicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Tibetan Eared-Pheasant,Crossoptilon harmani,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
White Eared-Pheasant,Crossoptilon crossoptilon,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Brown Eared-Pheasant,Crossoptilon mantchuricum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blue Eared-Pheasant,Crossoptilon auritum,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Cheer Pheasant,Catreus wallichii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Silver Pheasant,Lophura nycthemera,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Kalij Pheasant,Lophura leucomelanos,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Siamese Fireback,Lophura diardi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Bulwer's Pheasant,Lophura bulweri,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Edwards's Pheasant,Lophura edwardsi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Swinhoe's Pheasant,Lophura swinhoii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Salvadori's Pheasant,Lophura inornata,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crestless Fireback,Lophura erythrophthalma,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Crested Fireback,Lophura ignita,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Partridge,Perdix perdix,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Daurian Partridge,Perdix dauurica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
